"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"28/10/2024","1.070.836.992","1.066.884.992","1.075.000.064","1.060.000.000","","0,37%"
"27/10/2024","1.066.884.992","1.054.000.000","1.068.998.016","1.053.012.992","","1,22%"
"26/10/2024","1.054.000.000","1.051.988.992","1.058.000.000","1.046.164.992","","0,19%"
"25/10/2024","1.051.988.992","1.064.598.976","1.073.118.016","1.035.673.024","","-1,18%"
"24/10/2024","1.064.598.976","1.048.843.008","1.071.000.000","1.041.510.976","","1,50%"
"23/10/2024","1.048.843.008","1.053.737.984","1.053.737.984","1.029.000.000","","-0,46%"
"22/10/2024","1.053.737.984","1.053.001.024","1.058.998.976","1.041.006.976","","0,07%"
"21/10/2024","1.053.001.024","1.066.025.984","1.071.849.024","1.040.729.024","","-1,22%"
"20/10/2024","1.066.025.984","1.056.918.016","1.070.008.000","1.051.947.008","","0,86%"
"19/10/2024","1.056.918.016","1.058.526.976","1.060.099.968","1.051.739.008","","-0,15%"
"18/10/2024","1.058.526.976","1.044.742.016","1.064.998.976","1.044.742.016","","1,32%"
"17/10/2024","1.044.742.016","1.051.996.992","1.051.996.992","1.035.500.032","","-0,69%"
"16/10/2024","1.051.996.992","1.041.425.024","1.057.000.000","1.038.409.024","","1,02%"
"15/10/2024","1.041.425.024","1.015.022.016","1.050.000.000","1.006.000.000","","2,60%"
"14/10/2024","1.015.022.016","977.724.032","1.023.000.000","971.886.976","","3,81%"
"13/10/2024","977.724.032","982.308.992","982.400.000","966.856.000","","-0,47%"
"12/10/2024","982.308.992","971.502.016","983.600.000","971.502.016","","1,11%"
"11/10/2024","971.502.016","947.881.984","984.990.016","942.729.024","","2,49%"
"10/10/2024","947.881.984","956.179.968","962.499.008","930.308.992","","-0,87%"
"09/10/2024","956.179.968","977.809.984","977.809.984","951.000.000","","-2,21%"
"08/10/2024","977.809.984","978.004.992","987.280.000","975.009.984","","-0,02%"
"07/10/2024","978.004.992","976.990.016","999.998.016","975.443.968","","0,10%"
"06/10/2024","976.990.016","964.657.024","976.990.016","962.097.984","","1,28%"
"05/10/2024","964.657.024","969.337.024","973.201.984","956.420.992","","-0,48%"
"04/10/2024","969.337.024","942.088.000","976.035.008","937.003.008","","2,89%"
"03/10/2024","942.088.000","935.070.016","948.603.008","920.000.000","","0,75%"
"02/10/2024","935.070.016","935.193.984","956.444.032","924.300.992","","0,15%"
"01/10/2024","933.646.976","962.491.008","975.198.016","925.001.984","","-3,00%"
"30/09/2024","962.491.008","992.803.968","994.726.016","960.188.992","","-3,05%"
"29/09/2024","992.803.968","996.968.000","998.398.976","992.179.968","","-0,42%"
"28/09/2024","996.968.000","994.971.008","1.000.000.000","991.000.000","","0,20%"
